x1, x2, x3, x4, x5, x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,v
92, 43,86,87,100,21,36,84,30,60,52,69,40,56,104,100,69,78,15,66,1,26,15,88
17,44,14, 11,109,24,56,92,67,32,70,57,54,107,32,84,57,84,44,98,31,38,88,101
7,104,57,9,21,72,97,38,7,2,50,6,26,106,99,93,29,59,41,83,56,73,58,4
48,102,102,79,31,81,70,38,75,18,48,96,91,36,25,98,38,75,105,64,72,94,48,101
43,89,75,100,53,23,104,101,16,96,70,47,68,30,86,33,49,24,20,30,61,45,18,99
11,13,54,83,108,102,75,42,82,40,32,25,64,26,16,80,13,87,18,81,8,104,5,57
19,26,87,80,72,106,70,83,10,14,57,8,7,22,50,90,63,83,5,17,109,22,97,13
109,5,95,7,0,101,65,19,17,43,100,90,39,60,63,49,75,10,58,83,33,109,63,96
82,69,3,82,91,101,96,91,107,81,99,108,73,54,18,91,97,8,71,27,69,25,77,34
36,25,8,69,24,71,56,106,30,60,79,12,51,65,103,49,36,93,47,0,37,65,91,25
74,53,53,33,78,20,68,4,45,76,74,70,38,20,67,68,80,36,81,22,101,75,71,28
58, 9,28,96,75,10,12,39,63,65,73,31,85,31,36,20,108, 0,91,36,20,48,105,101
84,76,13,75,42,85,103,100,94,22,87,60,32,99,100,96,54,63,17,30,95,54,51,93
54,32,19,75,80,15,66,54,92,79,19,24,54,13,15,39,35,102,99,68,92,89,54,36
43,72,66,28,16, 7,11,71,39,31,36,10,47,102,64,29,72,83,53,17,97,68,56,22
61,46,91,43,26,35,80,70,108,37,98,14,45, 0,86,85,32,12,95,79, 5,49,108,77
23,52,95,10,10,42,33,72,89,14, 5, 5,50,85,76,48,13,64,63,58,65,39,33,97
52,18,67,57,68,65,25,91, 7,10,101,18,52,24,90,31,39,96,37,89,72, 3,28,85
68,91,33,24,21,67,12,74,86,79,22,44,34,47,25,42,58,17,61, 1,41,42,33,81
28,71,60,101,75,89,76,34,71, 0,58,92,68,70,57,44,39,79,88,74,16, 3, 6,75
20,68,77,62, 0, 0,33,28,72,94,19,37,73,96,71,34,97,20,17,55,91,74,99,21
43,77,95,60,81,102,25,101,60,102,54,60,103,87,89,65,72,109,102,35,96,64,70,83
85,87,28,66,51,18,87,95,96,73,45,67,65,71,59,16,63, 3,77,56,91,56,12,53
